v2ProductName,v2ProductCategory,units_sold,revenue
Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,17651,870976.95
Nest® Cam Outdoor Security Camera - USA,Nest-USA,16930,684034.55
Nest® Cam Indoor Security Camera - USA,Nest-USA,14155,548104.47
Nest® Protect Smoke + CO White Wired Alarm-USA,Nest-USA,6394,178937.6
Nest® Protect Smoke + CO White Battery Alarm-USA,Nest-USA,6340,178572.4
Nest® Learning Thermostat 3rd Gen-USA - White,Nest-USA,1638,83114.76
Google 22 oz Water Bottle,Drinkware,49288,38302.75
Google Men's  Zip Hoodie,Apparel,2253,38072.18
Nest® Learning Thermostat 3rd Gen - CA - Stainless Steel,Nest-Canada,662,35620.83
26 oz Double Wall Insulated Bottle,Drinkware,5323,35505.52
Google Sunglasses,Lifestyle,33909,31215.1
Leatherette Journal,Office,11016,31042.67
Nest® Learning Thermostat 3rd Gen-USA - Copper,Nest-USA,624,29985.45
Recycled Paper Journal Set,Office,22333,25918.25
Google Men's 100% Cotton Short Sleeve Hero Tee Black,Apparel,6969,23371.33
Sport Bag,Bags,13262,21722.65
Google Men's 100% Cotton Short Sleeve Hero Tee White,Apparel,4726,21675.62
Nest® Cam Indoor Security Camera - CA,Nest-Canada,524,21655.67
Google 17oz Stainless Steel Sport Bottle,Drinkware,4015,21171.66
Google Hard Cover Journal,Notebooks & Journals,5518,19649.22
Nest® Cam Outdoor Security Camera - CA,Nest-Canada,393,19403.83
Google Metallic Notebook Set,Office,12904,18539.56
BLM Sweatshirt,Apparel,1325,17473.0
Google Rucksack,Bags,877,16992.95
Google Twill Cap,Apparel,4666,16071.29
Waterproof Backpack,Bags,985,15595.66
Google Women's Fleece Hoodie,Apparel,1004,14765.74
Google Baby Essentials Set,Apparel,1437,14579.14
Engraved Ceramic Google Mug,Drinkware,5947,14557.21
Google Bluetooth Headphones,Electronics,1138,14021.32
Maze Pen,Office,59341,13754.17
Red Spiral Google Notebook,Office,5835,13654.14
Google Spiral Journal with Pen,Notebooks & Journals,4525,13226.17
Google Men's  Zip Hoodie,(not set),1400,12859.26
YouTube Leatherette Notebook Combo,Office,7868,12688.54
YouTube Hard Cover Journal,Notebooks & Journals,2123,12495.41
Spiral Notebook and Pen Set,Office,8063,12143.63
Google Water Resistant Bluetooth Speaker,Electronics,1387,11919.07
YouTube Twill Cap,Apparel,4072,11889.49
Collapsible Shopping Bag,Bags,8890,11865.03
Google Men's Watershed Full Zip Hoodie Grey,Apparel,941,11834.36
Red Shine 15 oz Mug,Drinkware,3120,11796.07
20 oz Stainless Steel Insulated Tumbler,Drinkware,2018,11611.36
YouTube Men's Fleece Hoodie Black,Apparel,879,10986.89
Google Canvas Tote Natural/Navy,Bags,2282,10877.33
Google Alpine Style Backpack,Bags,633,10846.43
Google Laptop Backpack,Bags,582,10620.77
Google Laptop and Cell Phone Stickers,Office,15243,10552.36
Google Metallic Notebook Set,(not set),7927,10512.88
Google 5-Panel Cap,Headgear,3173,10505.45
Nest® Cam Outdoor Security Camera - USA,${productitem.product.origCatName},308,10244.67
Google Men's 100% Cotton Short Sleeve Hero Tee Navy,Apparel,2031,10177.79
Google Tube Power Bank,Electronics,1985,9992.21
Google Men's Heavyweight Long Sleeve Hero Tee Navy,Apparel,1213,9780.15
Google Men's Quilted Insulated Vest Black,Apparel,522,9653.09
Google Men's 100% Cotton Short Sleeve Hero Tee Red,Apparel,2346,9461.72
26 oz Double Wall Insulated Bottle,(not set),2077,9420.19
Windup Android,Lifestyle,8001,9271.06
Google Tri-blend Hoodie Grey,Apparel,722,9260.3
Google Kick Ball,Lifestyle,18502,8775.63
Leatherette Journal,(not set),4178,8754.06
Google Men's Lightweight Microfleece Jacket Black,Apparel,403,8306.51
Google Men's Bike Short Sleeve Tee Charcoal,Apparel,1311,8081.06
Google Stylus Pen w/ LED Light,Office,4238,8064.2
Nest® Protect Smoke + CO White Wired Alarm - CA,Nest-Canada,199,7917.33
Google Men's Performance Full Zip Jacket Black,Apparel,535,7903.99
Badge Holder,Office,12252,7874.08
Google 25 oz Red Stainless Steel Bottle,Drinkware,1646,7859.99
Google Men's Vintage Badge Tee Black,Apparel,702003,7785.81
Google Men's Long Sleeve Raglan Ocean Blue,Apparel,1152,7520.08
Google Men's 100% Cotton Short Sleeve Hero Tee White,(not set),2604,7389.2
Google Men's Pullover Hoodie Grey,Apparel,524,7333.77
Google 22 oz Water Bottle,(not set),10480,7209.66
Google 17 oz Double Wall Stainless Steel Insulated Bottle,Google,1097,7209.15
Galaxy Screen Cleaning Cloth,Office,11427,7154.15
Google Device Stand,Electronics,4242,7129.32
Ballpoint LED Light Pen,Office,10433,6958.44
Nest® Protect Smoke + CO White Battery Alarm - CA,Nest-Canada,235,6927.83
Recycled Mouse Pad,Electronics,14967,6880.32
Pen Pencil & Highlighter Set,Office,6838,6868.72
Men's Softshell Jacket Black/Grey,Apparel,455,6758.82
1 oz Hand Sanitizer,Lifestyle,9997,6749.32
Four Color Retractable Pen,Office,7439,6712.63
Ballpoint Stick Pen 4 Pack,Office,5330,6605.5
24 oz YouTube Sergeant Stripe Bottle,Drinkware,3857,6538.56
Google Men's Quilted Insulated Vest Battleship Grey,Apparel,414,6508.38
Compact Bluetooth Speaker,Electronics,703,6411.3
Google Hard Cover Journal,Office,1661,6251.85
YouTube Leatherette Notebook Combo,(not set),7508,6244.76
Reusable Shopping Bag,Bags,5793,6152.51
Android Twill Cap,Apparel,1338,6133.62
Google Women's Quilted Insulated Vest Black,Apparel,277,6051.15
Foam Can and Bottle Cooler,Drinkware,9310,6022.16
Google Women's Lightweight Microfleece Jacket,Apparel,290,5987.43
Android Baby Esssentials Set,Apparel,505,5925.48
Google G Noise-reducing Bluetooth Headphones,Electronics,270,5833.44
Google Sunglasses,(not set),11432,5827.46
25L Classic Rucksack,Backpacks,223,5801.87
Women's Performance Full Zip Jacket Black,Apparel,223,5647.61
Electronics Accessory Pouch,Bags,3923,5625.42
YouTube Men's Short Sleeve Hero Tee Charcoal,Apparel,1040,5601.8
Google Men's 100% Cotton Short Sleeve Hero Tee Black,(not set),1609,5591.85
Waterproof Backpack,(not set),340,5539.05
Google Women's Fleece Hoodie,(not set),437,5526.12
Google Women's Short Sleeve Hero Tee White,Apparel,1502,5385.53
Ballpoint Pen Blue,Office,17954,5338.9
Men's Weatherblock Shell Jacket Black,Apparel,567,5325.71
Google Power Bank,(not set),977,5318.12
Google Lunch Bag,Bags,1180,5239.34
SPF-15 Slim & Slender Lip Balm,Housewares,7077,5148.03
Google Alpine Style Backpack,(not set),438,5042.95
Nest® Protect Smoke + CO Black Battery Alarm-USA,Nest-USA,208,4979.56
Google Power Bank,Electronics,594,4883.41
YouTube Women's Fleece Hoodie Black,Apparel,420,4878.92
Google Men's Short Sleeve Hero Tee Charcoal,Apparel,916,4816.43
Google Leather Journal-Black,Notebooks & Journals,923,4742.91
